Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1
AGO-2001,Angola,AGO,2001,0,57.5134839616206,3.8720125114313935,24.2,22.93478716815446,324.9968716013207,2.960081623535694,57.5134839616206,16.60020508338647
AGO-2002,Angola,AGO,2002,0,57.5134839616206,3.005298147034833,20.0,22.913362752605558,152.5610224692988,3.8720125114313935,42.5915766791073,16.633742175485878
AGO-2003,Angola,AGO,2003,0,57.5134839616206,3.560947487015071,26.3,23.57463757575465,108.897436089429,3.005298147034833,31.7610292464785,16.667816935053647
AGO-2004,Angola,AGO,2004,0,57.5134839616206,2.7935051260438537,27.4,23.735959849082032,98.22414365733042,3.560947487015071,27.1162657537214,16.702750360850082
AGO-2005,Angola,AGO,2005,0,57.5134839616206,-1.8647278729869496,28.4,24.01902780745321,43.54210675196869,2.7935051260438537,32.9626955078503,16.738694934122538
AGO-2006,Angola,AGO,2006,0,57.5134839616206,-0.0642567213434682,29.4,24.44646546773358,22.95351385139399,-1.8647278729869496,42.2206783158613,16.775157621533175
AGO-2007,Angola,AGO,2007,0,57.5134839616206,-1.030692151481282,30.5,24.79491581385931,13.30521017800316,-0.0642567213434682,40.2786520912475,16.812006539818828
AGO-2008,Angola,AGO,2008,0,57.5134839616206,1.3005810578692538,37.5,25.014243252518305,12.25149744594868,-1.030692151481282,45.3976036521592,16.849432340085887
AGO-2009,Angola,AGO,2009,0,57.5134839616206,1.7187365821574412,38.5,25.3162666049298,12.47582913263979,1.3005810578692538,52.1013581243545,16.887215235966003
AGO-2010,Angola,AGO,2010,0,57.5134839616206,-1.9315449878660305,33.8,25.126383183316232,13.73028392884085,1.7187365821574412,29.7782995191992,16.92523085298683
AGO-2011,Angola,AGO,2011,0,57.5134839616206,-1.6126594122972413,35.0,25.28288327011974,14.46965649325768,-1.9315449878660305,37.7085091832735,16.9637418337911
AGO-2012,Angola,AGO,2012,0,57.5134839616206,-0.8955351290840982,34.6,25.5559829428232,13.48246792185111,-1.6126594122972413,38.6184358197859,17.002621292125475
AGO-2013,Angola,AGO,2013,0,57.5134839616206,-2.2690715234323573,37.3,25.690108809528063,10.27790492188394,-0.8955351290840982,34.3328389540912,17.041457126105513
AGO-2014,Angola,AGO,2014,0,57.5134839616206,1.6030824938380608,38.4,25.72617268134446,8.777814293326237,-2.2690715234323573,29.0014846107501,17.079956931502593
AGO-2015,Angola,AGO,2015,0,57.5134839616206,2.976040926566074,32.0,25.756639708901066,7.280387303611207,1.6030824938380608,21.736607448329,17.117284210768364
AGO-2016,Angola,AGO,2016,0,57.5134839616206,-0.2912688321938951,42.0,25.353548721343,9.35597215533784,2.976040926566074,12.7187303090272,17.15333492568806
AGO-2017,Angola,AGO,2017,0,57.5134839616206,-2.85273408093762,41.8,24.83036290172726,30.69441508067191,-0.2912688321938951,19.7483988340046,17.189099338838567
AGO-2018,Angola,AGO,2018,0,57.5134839616206,-2.662799612311164,42.9,25.173296839008568,29.84447990156793,-2.85273408093762,24.7110060055382,17.22450545979518
AGO-2019,Angola,AGO,2019,0,57.5134839616206,-2.321764457934368,45.3,25.228682667489498,19.62893797015208,-2.662799612311164,30.7304027285905,17.259037788762317
AGO-2020,Angola,AGO,2020,0,57.5134839616206,-1.8768429596434129,45.6,25.120104896594093,17.08095414343803,-2.321764457934368,27.504828641196,17.292916629916387
AGO-2021,Angola,AGO,2021,0,57.5134839616206,-2.4173079846167127,47.0,24.792498276130445,22.27153924705097,-1.8768429596434129,18.5719595053837,17.325596215414812
AGO-2022,Angola,AGO,2022,0,57.5134839616206,-2.3406368585580988,48.2,25.08360810015005,25.75429488418906,-2.4173079846167127,28.2744398825844,17.357409440478254
ALB-1993,Albania,ALB,1993,4,4.8458773941323,2.2912775414028004,100.0,20.29582347626864,226.0054212535257,1.8393185406609716,4.67814330470611,14.993254370072854
ALB-1994,Albania,ALB,1994,4,4.8458773941323,1.7591733828904852,100.0,20.893274795059604,85.00475123871566,2.2912775414028004,2.64923826281687,14.987152714030442
